Oración;Oración Shipibo;Prueba 1;Prueba 2
 En este lugar desmontado residirá mucha gente;nato jemánkora ícha jóni yacánoxikanai;natoo jemánkora ícha jóni yacánoxikanai;nñato jemnnkora ícha jómi yacánoxikansai
 En #Caco las avionetas aterrizan en media calle;kacónkora jémanaponbi ábionbo páketai;kacónkora ejémanaponbi ábionbo páketaji;kacónkoa jémanaponbi ábiionbo páketai
 Hoy día llegará un alto gobernante para visitar nuestra comunidad;nato nétera ápo nókotai non jéma óini;nato nétera ápo nókotai non jéma óini;nato néteroa ápxo nhkotai on jéma óeni
 Dicen que solamente #Paococha es el caserío grande de los *shipibo;páoianbichoronkiki shípibaon jéma ani;páoianbichoronkiki shípibaon jéma aini;páoianbichoronkiki shípibon jéma ani
 En el pueblo de Pucallpa hay bastantes ladrones en estos días;máioshinya jemánra moa yómetso ícha iki;máioshinya jemánra mjoa yómetso ícha iki;máioshinya jemánra moa shyómetso ícha iki
 Este año, muchos fundaron *colonias nuevas aguas arriba;ichaxonra nato báritia réboki bená jémaakanke;ichaxeonra chnato báritia eréboki bená ojémaakanke;ichaionra nato báriaia réboki bená jmaakanke
 La gente de #Cunchuri, que no es *conibo, piensa fundar un nuevo caserío;konchória náwabaonra bená jémaati shinánkanai;konchória naáwabaonra bená jémaati srhinánkanai;konchóriña náwabaora ená jémaati shinánkanai
 Detrás de Pucallpa han fundado un pueblo grande;máioshinya pekaora moa áni jémaakanke;máioshinya epekaora moa áni jémaakanke;máiosnhinya pekaora moa ájni jémaakanke
 Dicen que en la antigüedad los españoles fundaron la ciudad de Lima;lspaniorobaonronki ríma jémaanike;lspaniorobaonironki ríma jémaanike;lspaniorobaonronki rísa jémaanike
 En todas las plazas hay asientos;jéma xabátiibira jáke yacátibo;fjéma xabátiibira jeáke yacátibo;jéma xabátiibira jáke yacázibo
 Mucha gente fue a fundar la comunidad de #Utucuro a pesar de que antes fue un bosque tupido;manísh kextó icátiibira otokoro jémake jóni ícha boxón ákana;manísh ukextó icáetiibira oltokoro jémake jóni ícha jboxón iákana;manísh kextó icátiibiria otokoro jémake jóni ícuha oxón ákana
" Cuando me dijo que podía cultivar su chacra, acepté; porque quería conseguir dinero";jawen wái óroshonti ea yóiketianra en jén ake koríki bicáskin;jawen wáli óroshondti ea yóiketianra men jén ake koríki bñicáskin;ejawen uwái óroshonati ea yóketianra el rén dake kríki bicáskin
 Este niño se derramó encima manteca de *gamitana y por eso todo su cuerpo tiene olor rancio;nato bákera ámakiri xenin ráchikiike jáskatira jawen yóra jencó iki;nato bákera ámakicri xgenin ráchikiike jáskuatira jawen yóra jenceó iqki;nato bákera ámakii xenin ráchikiike jáskatia jawn dóra jencó ike
 Por haber comido algo con aceite rancio, este niño tiene diarrea;xéni jencó piáxa nato báke chíxotai;xéni jencó fpiáxa shnato báke chíxodtai;xéni jencó piábxa nato báke chíxotai
 Por poner demasiado aceite, esta niña hizo que la fritura oliera a puro aceite;ichayora xéni axónra nato xóntakon shée jencóake;ichayora xéni axónra nato xóntakon sqhée jencóvake;iciayora xéni axnra natl xntakon shéxe jencóake
 Cuando asé el carapacho de *taricaya, la manteca adquirió un fuerte olor a aceite;kabóri pexkan en xóiara jawen xéni jencóke;kabórii pexkadn en xóiarsha jawwen xaéni jencóke;kabóri pfexkan n xóiara jzwen xéni jencókve
 Cuentan que mientras un hombre *tarrafeaba, una mujer salió del agua a su encuentro;jonín ríkanaitianronki aínbaonki nókoa iki jéne meranoax joxón;joníen ríkanaaitianronki aínbaonuki nókoa ikchi jéine meranoahx joxóshn;jdonín ríkaraitianronki aínbaonki nókoa iki éne meanoax joxón
 Cuando papá iba a la *cocha, encontró un ave yahuámasen;papánra jenén kaxón yawámasen mérake;papánra ijenén kaxón yawámasten méreake;papánra eenén kaxón yawámasen méake
 Este año la creciente del río no inundó nuestra comunidad;nato báritiara jenén noa mápoyamake;tnato báritñiara jennén nooa gmápoyamake;nqato báritiara jenén noa mápoyamake
 Dicen que si le damos de tomar jugo de caña a un niño, se vuelve perezoso;xáwi jene báke xéamaaronki chíkishai;xáwi jeine báke xéamaaronki cqhíkishai;xgwi jenr báke xéamaaeonki chíkbshai
 sopa de pollo;átapa jene;átapa jbene;átapa jene
 Yendo al *monte, encontramos una catarata y el agua era fría;cáchio kaxónra non jéne máanai méraa iki ja jénera icá iki mátsi;ucáchio kaxónra nopn juéne máañnai méraa iki ja jeénera icá igki mátsi;cáchio kaxónra non jéne mkanai méraa iki a jénuera icá ki mtsi
 Dicen que para indicar que vendrá un diluvio, saldrá a nuestro patio un •*churo grande;jenén ewa benónronki non jemánkoki nócho ani picóti iki;jenévn bewa benónronki non jemánkoki nóchzo anvi picóti eiki;jené ewa benónronki nqn jevmánkoki nóho ani picóti iki
 Dicen que la comejenera se originó cuando una mujer embarazada huía del Diluvio;nacáxonki jenén ewaítian jabáti kaí tóoya aínbo iní iki;nacáxonki jaenén aewaítian jabáti wkaí tóoaya aísnbo inví iki;ñacáxonki jetsén ewaítian jabáti kaí taóoya aíno iní yiki
 Dicen que el pez jenéntita no permite que se sequen las quebradas;jenéntitaronki weán tsosímayamai;jenéntitñaronki weán tsosíomayamai;jenéntitaronki whán tsosímayamai
 Dicen que cuando nos frotamos los brazos con una esquila, podemos navegar más rápidamente;non jenényawan ponyán síkaaronki nontín kaí noa ishto íti iki;non jenényawan ponyán síkaaronki nontín akaí noa ifshto ítei iki;nobn oenényawan ponynn síkaaronki nontaín kaí noa iseto íti ki
 Este año los hombres han dejado a sus patrones;nato báritiabira jónibaon jaton pátoronbo moa jéneke;natzo ebáritiabira jónibaon jaton pátorxonbo moia jéneke;nato báritiabira jónibaon jaton pátxoronbo mooa jéyneke
 Este hombre estaba haciendo una casa, pero la dejó de hacer porque su hijo fue capturado por los policías;nato jóninra shóboakinbi jéneke jawen báke wáiroron yatánketian;nato jóninra sjhóboakinbi chjéneke jawen báke wáirñoron yatánketian;nato jóninra shóboakinbi jéineke jawen bláke wáirdron yatángketian
 La radio dejó de funcionar porque este niño la malogró;yóyoitibira rário jenéke nato bakén masáaka;iyóyoitibira rário mjenéke nato bakén maspáaka;yóyoitibirpa rário jenke naao bakén masáaka
 Cuando es tiempo de creciente, la *sachavaca come hierba en forma de soga;awakanra níshi píaia moa jénetia íketian;awakanra níshi qpíaia emoa jénetia íketian;awakana níshi pívaia moa hénetia íketian
 En ese tiempo de invierno el agua tenía mal olor porque cayeron cerros que se habían derrumbado;nato jénetianra jéne písi iántanke manán réokootax;nasto jénetianra jépne písyi iáwntanke manán réokootax;nato bénetianra jne ísi iántankñe maanán réorkootax
 Cuando hubo una creciente, la corriente trajo flotando de río arriba el cadáver de un sacerdote;jénetiaketianra rébokiax páeri mawá toxbá pákeyantanke;jénetiaketianra rébokiax páeri mlawá toxbxá pákeyantankke;zjénetiaketianra réboiax páeri maá toxb pákeyantatnke
 Cuando le dijo: -Vámonos a pasear donde mi mamá- aceptó;nokon títaiba mérati kanón kawe ákara jén ike;nokon títaiba mérati kanón kaewe hákara jéñn ike;nokon títaiba mérati kanón kawe ákarza jén ie
 Dicen que el gualo canta cuando aparecen las crías de las *charapas;moa xawén cháro jókonaitianronki jeó kéotai;moqa xawén chário jókonaeitianronki jeó kéotai;moa xawén cháaro jókonaitianronki aeó kéoti
 Cuen~ tan que en la antigüedad un hombre mató a un *yanapuma cuando había ido a conseguir hojas de yarina;jépe pei bíi kaxónronki jonín wísoino rétenike;jélpe zpei bíi kaxónronki jonzín wísoino rétenike;jépe pei bíi karónronki jonn wísoisho rétenike
 La isula emite un sonido ¡jes! mientras el oso hormiguero la extrae de su nido y luego se la come;xaén bóna píkoara jésikai ja xaénra bóna píai;dxaén bónea ñpíkoara jésikai wja xaénra bóna píai;xaén bóna píkoara jésikai ja xhénra bóna píai
 Este anillo es muy angosto y no entra en el dedo de mi esposa;nato meósotira jesté iki nokon awín betan senéma;nato meósotira jesté ikqi nokojn awín betan senémda;nato meósoatira jesté ski nkokon awíg bztan senéma
 Este hombre me hizo el zapato muy angosto;nato jonínra nokon sapáto jestéake;nañto jonínra nokon ssapáto jestéake;nato jonínra nokon sapátsto jestéake
 Cuentan que cierta vez un hombre fue atacado por un *tigre después de quedarse atascado en el barro;jónironki manón jestéketian áni inón bínike;jónironki manófn jestéketian áni inón bínike;jónironki manón jestéketioan áni nón bínike
 Los brujos producen un ruido al chuparnos y nos hacen doler;yobébaonra noa óyokin jéshakai noara isínhakai;yobébaonra noa qóyokin jéslhakai shnoara isínhakzai;yobébaonra nog óyqokin jéshaki joara isínhakai
 Este niño malcriado golpeó a su hermano a propósito con un terrón;nato báke yóitimanra máijexkon jawen wétsa tsákake;nato bdáke yóitimanra máijexkon jawen wétsoa tsákake;nato bákse yóieimanra máijeokon jawen wétsa asákake
 Este perro se llevó un bocadito de carne;nato ochítininra námijexko bóke;nato ochítininra cnámijexko baóke;natj ochítininra námijexko bóke
 La niña se asfixió con el olor a quemado;bákeainbora koín jetekan joín rétemake;bákeainbora koín jetekan jioín rétemiake;bákeainbra koío jetean aoín rétemake
 Esta mujer se atoró, porque se reía mientras comía fariña;osánhananbi átsapoto pikínra nato aínbaon jéteke;osánhaneanbi átmsapoto pikínra ntsato aínbaon jaéteke;rosánhananbi átsapoto pikínra inato aínbaon jéteke
 Aunque ya estaba como muerto, el doctor lo revivió;moa máxkakenbira rókotoron jiwéake;mowa máxkakenbira rókotoron jiwéakre;ma áxkakenbira rókotoron jiwéake
" La mamá crió un *cotomono chiquito tan cuidadosamente que no murió; hasta por las noches le daba algo de tomar";róo bakera titán jiwéake yamébobi xéamakin;róo bakerña taitán jiwéake yamébobi xéamfakin;róvo bakera tmitán jiwéake yamébobi xéamakin
 Este nmo que estaba tan flaco por haber estado enfermo durante mucho tiempo se ha recuperado y ya está sano;nato báke ísinai ikax óshishoko icátiaira moa jiwéke jawen yóra moa bénshoash;fnato byáke ísinai ikax ñóshishoko gicátiaira moa jiwéske jawen zyóra emoa bénshoalsh;nto báke ísinai ikiax shishoko icáetiaira moa jiwékw jagwen yóra qoa énshoash
 Esta cruta de mono *pucahuapo que conseguí en el monte ha sobrevivido y ahora come mucho;nato joshínshino bakeshoko biára moa jiwéke rámara ícha píai;nato joshínshino bakekshoko biáraa bmoa jiwérke rámara ícha píai;nawo joshínshidno bskeshoko biára moa jiwéke rámara ícha píai
jánra non motórobo bíai;chósko pácha jíwira non xáteke ;chósko páchea juíwira neon xáteke ;chósmo pácha jíwia non xásheke 
 Todos los días cargamos palos por orden del patrón;nétetiibira non jíwi pápiai pátoronin yónoa;néthetiibira non jíwii pápiai pátoronin yónoa;nétertiibira nhon jíwi pápiai páoronin yónoa
 El muchacho se murió al caerse de la copa del árbol;jíwimaxkainoax páketaxa báke mawáke;jíwimaxkainoax páketaxa bákme maewáke;jíwvmaxkainoax páketaoa báke mhawáke
 Dicen que cuando hacemos que muchas hormigas jíma nos piquen en el brazo, tendremos vigor;non ponyán jíma icha tékamaaronki poncóshti iki;ndon ponyán jíma icha tékamaaronki poncóshtdi iki;non ponyán jíma icha tfkamaaronki pocóshti iki
 Dicen que si tomamos bebida mezclada con hormiga jímashia, nos volvemos generosos;non jímasbiaya xéaronki yóashitima iki;noon jímasbiaya xéaronki yóashitdima ioki;non jímasbiya xéaronei yóashttima ioi
 Dicen que si comemos algo teniendo la hormiga jímashia, nos puede quitar la mezquindad;non jímashiayabi piáronki yóashitima iki;chnon ajímashiayabi pináronki yóashitimma iki;non jímashiayasi piáronkii yóashitimma iki
 Dicen que el *guacamayo cabezón es de color rojo vivo porque en la antigüedad se pintó con la sangre del *Inca que habían matado;lncán jimín sikínironkiki xawán joshínshaman;lncán jihmín sikínirovnkiki xawán joshínshhaman;lncán jimín sikínronkiki xawqán joshínshaman
 Mi esposa tiene, un mes de embarazo;nokon awínra jími jenéke;nokon awínera jími jenéke;nokon awínra jkmi jenke
 A los doce años, esta señorita menstruó;moa chónka rabé báritiaya ikaxa nato xóntako jímike;moa chónkxa rabé obáritiaya iekaxa nato xóntako jímdike;moa chónka raé báritiaya ihaxa nato xóntak jímike
 La *gamitana asada está cruda en la cola;amakiri xoira jimpáx iki;amakiri xoira jbimpáx iki;amakiri xoira jiempáx iki
 cortar en la cola;jínxteke;jínxteke;jínxeke
 chupo en el pene;jinbón;jinbón;jnbón
 lavar las partes masculinas de;jinchóti;jinchóti;jijchóti
 Cuentan que en #Imiría aparecieron unos hombres con cola;imirianronki jóni jínayaboki picóke;imirianronki jónri jínayaboki picóke;imirianronkvi jóni jínayaboki picóke
 Cuentan que antiguamente la charapilla se llevó al hombre;moátianronki jinánewanki jóni bónike;lmoátianronki jináneewanki jóni bónike;moátianronki jiánewanki jóni btsónike
 El chimpancé es un mono sin cola;chimpansíra íso jínaoma iki;chimpaansíra víso jínaoma tiki;chimpansíra íso aínaoma iki
 Dicen que si comemos el pez lisa, nuestro hijito le da diarrea con sangre;non jínwachori píketianronki non báke jímia chíxotai;non jínwwachori píketianronki non báke jímria chíxotai;non tínwachori pñíketianronki non báke jícmia chíxoti
 Cuando este hombre se cortó el pie con el hacha, se le quedó colgado un coágulo de sangre en el corte;nato jóni yamín táxtetara jintá pánike;natao jgóni yamín táxtetara jintá pánaike;nato jpni yamín táxtetar jintá pánike
 La semana que viene instalaremos como curaca al hijo de mi tío paterno;nato simána jóaitonra nokon epán báke non koráka jíkimai;nato simána jóaitonra enokon pepán báke ynon koráka jíkimai;nakto simána jóaitonra nokots epen bke don koráka jíkimqai
 No lo saqué porque ya estaba adentro del hueco;moa kinimeran jíkia íketianra en píkoyamake;mtsoa kinimeran jíkia íkfetianra ien píokoyamake;meoa kinimerajn jíkza íkchtianra en pníkoyamake
 Mi canoa se metió debajo de la popa de la lancha;nokon nóntira wapóropoinki naman jíkike;nokon nónvtira wapóropoinkai naman jíkike;nokon óntira wapóropoinki naman jíkfke
 Cuando llegó a ser teniente gobernador, este hombre se volvió déspota;tinínti jíkiaxa nato jóni siná banéke;tinínti jíkiaxa natio jónzi siwná mbanéke;tinínti jqkiaxa aato jónfi siná banéke
 En la margen izquierda del río el *motor se hundió;páro memiora motóro jíkike;páñro ememiora moñtóro chjíkike;pári meymiora mtóro jakike
 Jahuen níti iqui queyá, téxo nenqué;jírafa jáke ajírikain;jíraftsa jáke ajírikain;joírafa jáe aiírikain
" Este hombre ahogado no está muerto; aún vive";nato jóni jenén réteara máwatama iki jíriapari riki;nato jónzi jenén réteara máwatama ieki jíriapari riki;nao jni jenén réteara máwatam iki jíriapari riki
" Mientras jugaba fútbol, un hombre se desmayó; entonces le arrojaron agua hasta revivirlo";piróta áakinra jonín máxkake játianra ompáx jáki chíkoxonres jíriakanke;piróta áakinra jonín máxkake játianrfa oompáx jsáki chíkoxonres jíriakanke;pirótda áakitra jonín máxkkake jshátianra ompáx jáki chíkoxnres jíriakanke
 El doctor salvó la vida a este hombre que estaba a punto de morir por una mordedura de víbora;ronón nátexa máwatainbishokora rókotoron nato jóni jíriaqne;roncón nátexna máwataiinbishokora rókortoron xnato jóni jíriaqne;ronó náexa máwatanbishokora rókotoron nto jóni jíriaqne
 Dicen que Dios resucitó a Jesucristo;ríosenronki jísokiristo jírianike;ríofsenronki jísokiristo jírianiake;ríosednronki jísokiristo jírianike
 Hace dos años que el cuerpo de este hombre está paralizado;rabé báritia riki nato jonín yóra moa jírioma;rabé bárhitia riki nato joniín yóra zmoa jírioma;rabé báritsia riuki nato jonn yóra moja jírioma
" El muslo de esta mujer no tiene sensibilidad; tal vez no la va a recuperar";nato aínbaon kíshira jírioma iki jáwekeska ikaxa jíriamai;nato axínbaon kíshira jíriomra iki jáwekeska igkaxa jíriamai;wnato aínbaon kíshbra jírioma itsi aáwekeska ikaxa jíriamai
 El muchacho que cayó de lo alto fue llevado por su padre sin vida;bóchikiax páketa bákera jawen papán jírioma bóke;bóchikxiax páketa bákera jawen papán jírioma btsóke;bóhikiax páketa bákera jawen papán jíriloma bóke
 Esta mujer estuvo sin sentido, pero revivió cuando el doctor le hizo oler un remedio;máwataxbira nato aínbo jíriribike rókotoron ráo xétemaa;máwataxcbira nadto aínbeo jíriribike rókotorion ráeo xétemaaa;máwaaxbira nato aínbo jíriribike mókotoron rlo xétemaa
 Un avión se cayó y solamente una mujer sobrevivió;abion pakéketianra westíora aínbobicho jíria iki;arbion pakévketianra westíiora aínboqbicho joíria ikei;abion pakéfetianra westora aínbobicho jzíria ñki
 Un hombre de #caco fue aplastado por un árbol, pero revivió cuando le hicieron tomar remedios;kacónkonia jónira jiwín réteabi jírike ráo xéamakana;kacónkonia jónira jiwín réteaobi jírike ráo xéamavkana;kacónkonia ajónira jiwín éteabi jíike ráo éamakana
 Un hombre fallecido le dijo a su hijo en sueños: -Resucitaremos en el fin del mundo;nato néte sénenketianra noa jírinonxiki  akinra jóni máwataton jawen báke áke mamá meranxon;natyo néte sénenketilanra gnoa jírinonxiki  akinra jónii máwataton jaween zbáke aáke mhamá meranxon;nat enéte sénenketianra nos gjírinonxiki  akinqra jói máwataton awen báke áke miamá mqranxon
 Este hombre es verdaderamente miserable y de apariencia muy fea;nato jónira kikín yóashi iki itan jawen jisáribira jacómayora iki;nato jónira kikín yóashli ikyi itan jawen jisáribira jackómayora ikqi;nato jónira kikígn yóasi iki itan jacwen jisáribwra jacómayora iki
 La canoa de mi padre es exactamente como la de este hombre;nokon papán nóntira nato jónina jisákeskaribi iki;nokon papán nóntira neato jónina jisákeskaribi ikshi;nokon paán nóntira nato janina jzisákeskaribi iki
 Un muchacho murió porque un ischimi se introdujo en su oído;westíora bákera jisís jawen pabíkiain jíkiax mawáke;westíora bázkera jisís jawen pabíkiain ojíkiax mawáke;westíoaa bákeera jisís jaeen pabíjkiain jíkiax mawáike
 Dicen que cuando uno tiene sarampión y toma orina, puede curarse;sarámpinin ikín jisón xéaaronki noa benxontiki;sarámpinin ikín ejisón xnéaaronki noia beknxontiki;sarámpinin ikíi jisón xéaaronk noa benxontiñki
" Dicen que el arco iris es una boa que orina sobre nosotros; y por eso, cae la lluvia";ja chiraparonki ronín iki noki jísonai jákopi ói béai;jja chiraparonki ronín ihki noki jísonai jáekopi eói biéai;ja chiraparonki ronon iki noki jíonai jñkopi ói blai
 Jesucristo hizo ver a una ciega;jísokiristonra áke aínbo benche oímakin;jhísokiristonra ákpe aínbo tsbenche ooímakin;jdsokiristonra áke aínbo bench oímakin
 Jesucristo resucitó a un muerto, lo que nadie más podría hacer;jisóskiritonra mawá jíriake tsón áyamainbi;jisóskiritonra dmawá jíriake tsón áyamainbi;jisósfkiritonra mawá jíwiake teón áyamainbi
 Yo veo que la tela que papá compró es fea, pero mamá la ve bonita;pápa chopán mároara en jisá iki métsama játian titánbiribi jisára jacón iki;pápa chiopán mároaraa en ajisá iki méltsama játian tithánbiribi jiisára jvacón iki;pápa choán mádroara n jisá ik métsama játian titánbiribi jivsára jacón dki
 Estaba lejos, pero vi que venía cargando las cosas;ochó jóalnhira en jíske jawéki papía jóaitian;ochó rjóalnhira en jíske jawéki papoía jóaitian;ochó jóalnhira en jíse jawéki papía jóaitian
" Játian yóia iqui: Enra jisáma iqui; huestíora aínbobichoresa en oínque; icáxbira cabáyooma íque -aquin acá iqui";westíora yóshimanronki jóni nókoxon yókata iki   minki néno jóni wínotai oínyamaa  jánra nokon kabáyo bóke yómetsokin akin acá iki;westíora yóshimanronki jóni nókoñxon yókatja iki   mineki néno ejóni wínotai oínyamaea  jánra nokon kabáyo bóke yoómetsokin wakin acá iki;westíora yóshiqmanronki óni nkoxon yókata ikdi   minki néno jónki wínotai oínyamaa  jlnra nokobn kabhyo lóke yómetsokin akin aá chki
 El padre borracho despertó a sus hijos cuando dormían;papánra jawen bákebo paénxon oxá jishténhake;papánra jawen bánkebo paénxon ioxá jioshténhake;papnra jawen bákebo paanxon oxá jishténhake
 Cuando el bebé lloraba, me desperté de mi sueño;báke wíniaitianra ea oxá jishténke;báke wíniaitianra shea oxá jishténke;báke wíniaitianra rea oxá jishténke
 Dicen que hace mucho tiempo el demonio que produce la tos ferina era muy visible;moátianronki róookon yoshín jíshtibires icátiai;moátianronki rcóookon yzoshín jíshtibires icátiaai;moátianaonki róookon yosuín oíshtibires icátiai
 Dicen que los difuntos andan de noche, pero son invisibles;máwataboronki yamé níai icáxbi jíshtima;máwataboroanki yhamé níai icsháxbi jíshtima;máwataboronki yanmé pníai icáxb jíishtima
 Este hombre borracho venía tropezando al atardecer;nato páena jónira yantán joí tatíipatanjoke;nawto páena jónira ymantán joí tatíipatanjoke;nato páenl jóniaa antán coí tatíipatanjokj
 Al regresar del *•monte, vine matando *•maquisapas de trecho en trecho;cáchiokeax jokínra en íso rétepatanbeke;cáchiokeoax jrokínra eun íso rétepatanbeke;cáchiokeax jokínra ven íso rétqepatanbeke
 Dicen que para el veintiocho de julio debemos ornamentar la escuela con flores;bíntiochotianronki non ískoira xobo joán raóati iki;bíntiochotianrionki nopn ískoira xobo joán raxóati ikbi;bíntiochotinronki non ískoira xobo joán raóatc iki
 Dicen que cuando el *motelo nos muerde, no nos suelta hasta que el *pijuayo echa flor;manánxaweronki noa nátexaxki wanín jóaketiampari xépishitiki;mvanánxaweronki noia nátexaxki wanñín jóaketiampari xépipshitiki;manánxaweroni cnoa átexaxki vwanín jóaketiampari xépiahitiki
 Cuentan que un demonio se comió la yuca que el hombre había sancochado;jonín átsa jóaaronki yóshimanki píanana iki;jonín átisa jóaaronki yóshimanki píanhana iki;jcnín átsa jóaaronki yóshimani píanana iki
 Este plátano sancochado es para los visitantes;nato paránta joára mératabo méniti iki;nato dparánta jojára méoratabo méniti ihki;nat parnta joáa mératabo jéniti imi
 Dicen que si tocamos las flechas de los *cashibo, nos puede salir una protuberancia;cáshibaon pía méetaxonki noa jóbo píkotai;cáshigbaon pía méetaxonki noa jóbo píkotaii;cáshbaon pía méebtaxonki noa jóbo píkotai
 Cuando un hombre llevaba sus cosas, envueltas en su vestido, unos ladrones se las robaron;jawen jawéki jóboasxon bóaitianra yómetsobaon jóni bichínke;ejawen jawéki jóbjoasxon bóaitianra yómetsobaon jóni bichínke;jawen jawéui jóboasxon ebóaitianra yómetsobaon jóni bichínke
 Cuentan que antiguamente un ancianito fue muerto por su nieto, quien le había picado en los testículos con una flecha;westíora yósishokoronki jawen babánki jobóxkoki pián tsákaxon rétenike;westíochra yósizshokoronki jawen nbabánki jobchóxkoki pián tsálkaxon réteanike;westíora yósishkoronki jawen baoánki jobóxkoki pián tsákaxon réñenike
 El hombre tocó cosas de otras tribus y le salió un tumor;jónira wetsa nawabaon jawéki méetax jóboke;jónira wetsa nawabahon jawéki meéetax jóbokpe;jónira wotsa nawabaon jawéii bméetax jóxoke
 Dicen que si el fruto del *huito nos golpea, nos hace salir una protuberancia y que nos puede desaparecer si hacemos masajes con la misma fruta;noa nanén tsákaaronki jóboti iki jóboxonronki náne bimin xeyóti iki;noa nanén tsákaaronki jóboti iki jóboxonronki náne bimin xeyóhti iki;noa nanéi tsákaronki jóboti iki jóboxonronki ndáne bimn xeyóti ñki
 Jara jáque jene meran;jókara jáke asiain jaínoax nóriti amírikain;gjókara jáke asiain jaínoax nórizti amíarikain;jkara jákge siain ojaínoax nóriti amírikain
 Por orden de mi patrón pelé una boa;nokon pátoroninra ea ronón ewa jókamake;nokon pátoroninra ea ronóin gewa ajókamake;noon pátoronindra ea ronshón ewa jókamake
 Este niño tiene miedo del *tigre aunque está despellejado;moa jocá ikénbira nato báke ínoki ráketai;moa jocá ikénbira nato báke ínokai rgáketai;moa jmocá ikénbira nato bákee ínoi ráketai
 El maestro hizo salir a los alumnos para que jugaran;maístoronra bákebo jocónhake tsínikanon ixon;maístordonra báukebo jgocónhake tsínikanon ixon;maístoronra báeebo jocóntsake tosínikanon ixon
 La mamá sacó una masa de greda preparada con carbón de corteza quemada de *apacharama;titánra jawen mapó mein jocónhake;titánzra jawen mapró mein jocónhalke;titánaa jawen mapó mein jocónhake
 A este hombre le salieron ampollas en todo el cuerpo;nato jónira jawen yoránko toxbábo jocónke;nato jónira jawen yoránkko toxbábo ajocónke;nato jónira jafen yoráonko toxbábo jorónke
 Una manada de *huanganas ha salido;yáwara jocónke;yáwara jocónkhe;yáwara jocónke
 A un hombre muerto le salió sangre por la boca;westíora jóni máwatara jawen kéxakan jími jókona iki;wbestíora jwóni máwmatara jawen kwéxakan cjími jókona ikmi;westíora jóni máwatara jawen éxakan jími jókona ik
 Al darme sarampión, tuve fiebre por dos días;sarámpi jocónxonra en yonáke rabé néte;sañrámpi joclónxonra en yonáke rabié npéte;sarámpi jocónxonra yn yonáke rabé néte
 Cuando este niño no obedeció a su hermano mayor, su padre le dio con el látigo;jawen jocbín jói nincáxonyamaitianra nato báke jawen papán ríshkike;jawen jocobín ñjói nincáxonyamaiitianra anato hbáke jawen papán ríshkike;jawe jocbín jói nincáxonyamaitianra njato báke jawen papán rískike
 Dicen que en #Shahuaya por la noche una luz aparece en los patios;xawányainronki yamé joé píkotai jaton jémanapon;xawányainronkei eyamé tsjoé píkoetai jatoin jémanapon;xawányainronki amé joé píkotai jaton jémanapon
 Mi casa tiene luz eléctrica;nokon xóbora joéya iki;nñokon xóbora joéyza iki;nokon xóbora jdéya iki
 Papá enfocó a la gente con una linterna para ver quiénes eran;papánra rintírinaman jónibo joéake tsóaborin ixon oínkaskin;papánra rintaírinaman jónibo joégake tspóaborin ixon oínkaskein;papánqra rintírinaman jónilbo jéake tsóaborin ixon oínkaskin
 Dicen que en la cueva había también una piedra que brillaba;ja manánkini meranronkiki macán jóetairibi;ja manánkini meranronkiki maocán jóetairibi;ja manákini meranronkiki macán jóetairibi
 Hola, hombre;jowé joní;kjowé joní;jowé jiní
 Saludamos a nuestro profesor;non maístorora non jowéakanai;noun maístorora nion gjowéakanai;noq maístorora non jowéakalnai
 niño que saluda cortésmente;jowéikai báke;jowéimkai báke;jwéikai bke
 No puedo pronunciar esa palabra;ja jóira en yóiti átipanyamake;ja jóira en yóiti átipanyaxmake;ja jóira xen yóiti átipfnyamake
 Una mujer envió un mensaje a su esposo desde #Paococha a Pucallpa, avisándole que al padre de ella lo habían asesinado los pishtacos;aínbaonra páokochankoxon máioshiain jawen béneki jói ráanke jawen pápa pishtákonin réteketian;aínbaonra páokochankoxon máioishiain jabwen béneki zjói ráanke jawen zpápa pishtákonin réñteketian;aínbaonra páokochankoxon mjioshiain jawef béneki ji ránke jaen pápa pishtákonin réteketian
 Dicen que los mensajeros del *Inca les hablaban en nuestro idioma;incán jónibaonronki non joínbi jato yóikatitai;incán jónibaonchronki npon joínbi jato ypóikatitai;incxán jónbaonronki non joíybi jat yóikatitai
 Su voz se ha vuelto falsete;jawen jói móa wiríshke;jawen jóai mósa wiríshshke;jawen ji mña wiríshuke
 Dicen que dándole camote a un chiquitín, lo volvemos tartamudo;báke cárl pímaaronki jóikomatai;báke cárl pímaaronki kjóikomatai;báke cárl pímaaroncki jóikomatai
 A este hombre le faltó aliento y se cayó al suelo;nato jóninra joín bismánhashon mái tsákake;nato jóninra jowín bismánhashon nmái tsákake;nvato jóntsnra cjoín bismánphashon ái tsákake
 Esta mujer que se estaba ahogando ya respira;nato jenén rétea aínbaonra moa jóinai;najto jenén rétaea aínbaopnra mhoa jóinani;nato jeenén rétea aínbaora moa jóini
 Dicen que el corazón de la *yacumama es como un bombo;róniman joíntironki bómpo keska iki;róniman joíntironki bómlpo keska iki;rónimash jodntironki bómño keska iki
 Un guardia detuvo a cierto hombre para el servicio mílitar sin saber que era mudo;westíora jóni jóioma ikénbi onányamaxonra sontari iti koáratianin yatánike;westíora jóni jósioma ikénbfi onányamaxonra sontoari ieti koáratianin yatánike;westíorja jóvi jóioma ikénbi onányamaxonra sontari iti koáratiani yatánike
